Column1,Material,N_p,L_t,P_t,N_t,d_o,d_i,A,d_shell,V_tubes,V_shell,h_o,h_i,U,e,A_req,U_o_guess,T_o,dT_lm,m_dot_c,D_s/Lt
432748,4,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2364.376948,0.636794862,34.63517414,1662.5,71.24357396,42.45344589,18.70270242,0.064119941
432843,4,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2364.376948,0.636794862,25.87909079,2225,71.24357396,42.45344589,18.70270242,0.064119941
432938,4,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2364.376948,0.636794862,20.65685274,2787.5,71.24357396,42.45344589,18.70270242,0.064119941
433033,4,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2364.376948,0.636794862,17.18835135,3350,71.24357396,42.45344589,18.70270242,0.064119941
433128,4,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2364.376948,0.636794862,14.71718262,3912.5,71.24357396,42.45344589,18.70270242,0.064119941
433223,4,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2364.376948,0.636794862,12.86725743,4475,71.24357396,42.45344589,18.70270242,0.064119941
433318,4,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2364.376948,0.636794862,11.4304669,5037.5,71.24357396,42.45344589,18.70270242,0.064119941
433413,4,6,6.666666667,0.0333375,60,0.02667,0.0209296,33.51451043,0.427466276,0.919494716,13.7244541,7920.946864,5238.005748,2364.376948,0.636794862,10.28231732,5600,71.24357396,42.45344589,18.70270242,0.064119941
155615,0,4,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.406096398,0.983734113,16.15298317,8146.599942,5408.311962,2688.160344,0.658680624,47.93931915,1100,65,46.3561575,23.37958717,0.06091446
155710,0,4,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.406096398,0.983734113,16.15298317,8146.599942,5408.311962,2688.160344,0.658680624,31.71924876,1662.5,65,46.3561575,23.37958717,0.06091446
155805,0,4,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.406096398,0.983734113,16.15298317,8146.599942,5408.311962,2688.160344,0.658680624,23.70033756,2225,65,46.3561575,23.37958717,0.06091446
155900,0,4,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.406096398,0.983734113,16.15298317,8146.599942,5408.311962,2688.160344,0.658680624,18.91775823,2787.5,65,46.3561575,23.37958717,0.06091446
155995,0,4,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.406096398,0.983734113,16.15298317,8146.599942,5408.311962,2688.160344,0.658680624,15.74126897,3350,65,46.3561575,23.37958717,0.06091446
156090,0,4,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.406096398,0.983734113,16.15298317,8146.599942,5408.311962,2688.160344,0.658680624,13.47814724,3912.5,65,46.3561575,23.37958717,0.06091446
156185,0,4,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.406096398,0.983734113,16.15298317,8146.599942,5408.311962,2688.160344,0.658680624,11.78396672,4475,65,46.3561575,23.37958717,0.06091446
156280,0,4,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.406096398,0.983734113,16.15298317,8146.599942,5408.311962,2688.160344,0.658680624,10.46813917,5037.5,65,46.3561575,23.37958717,0.06091446
156375,0,4,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.406096398,0.983734113,16.15298317,8146.599942,5408.311962,2688.160344,0.658680624,9.416651976,5600,65,46.3561575,23.37958717,0.06091446
186395,1,4,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.406096398,0.983734113,16.15298317,8146.599942,5408.311962,2729.077253,0.664219777,47.93931915,1100,65,46.3561575,23.37958717,0.06091446
186490,1,4,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.406096398,0.983734113,16.15298317,8146.599942,5408.311962,2729.077253,0.664219777,31.71924876,1662.5,65,46.3561575,23.37958717,0.06091446
186585,1,4,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.406096398,0.983734113,16.15298317,8146.599942,5408.311962,2729.077253,0.664219777,23.70033756,2225,65,46.3561575,23.37958717,0.06091446
186680,1,4,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.406096398,0.983734113,16.15298317,8146.599942,5408.311962,2729.077253,0.664219777,18.91775823,2787.5,65,46.3561575,23.37958717,0.06091446
186775,1,4,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.406096398,0.983734113,16.15298317,8146.599942,5408.311962,2729.077253,0.664219777,15.74126897,3350,65,46.3561575,23.37958717,0.06091446
186870,1,4,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.406096398,0.983734113,16.15298317,8146.599942,5408.311962,2729.077253,0.664219777,13.47814724,3912.5,65,46.3561575,23.37958717,0.06091446
186965,1,4,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.406096398,0.983734113,16.15298317,8146.599942,5408.311962,2729.077253,0.664219777,11.78396672,4475,65,46.3561575,23.37958717,0.06091446
187060,1,4,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.406096398,0.983734113,16.15298317,8146.599942,5408.311962,2729.077253,0.664219777,10.46813917,5037.5,65,46.3561575,23.37958717,0.06091446
187155,1,4,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.406096398,0.983734113,16.15298317,8146.599942,5408.311962,2729.077253,0.664219777,9.416651976,5600,65,46.3561575,23.37958717,0.06091446
247955,3,4,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.406096398,0.983734113,16.15298317,8146.599942,5408.311962,2541.325867,0.638039703,47.93931915,1100,65,46.3561575,23.37958717,0.06091446
248050,3,4,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.406096398,0.983734113,16.15298317,8146.599942,5408.311962,2541.325867,0.638039703,31.71924876,1662.5,65,46.3561575,23.37958717,0.06091446
248145,3,4,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.406096398,0.983734113,16.15298317,8146.599942,5408.311962,2541.325867,0.638039703,23.70033756,2225,65,46.3561575,23.37958717,0.06091446
248240,3,4,6.666666667,0.0333375,70,0.02667,0.0209296,39.10026217,0.406096398,0.983734113,16.15298317,8146.599942,5408.311962,2541.325867,0.638039703,18.91775823,2787.5,65,46.3561575,23.37958717,0.06091446
